epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.886,0.25444,0.68531,0.2039,0.84244,0.99496,0.97709,0.99398,0.97291,0.96858,0.94973,0.96861,0.89828,0.19665,0.60126,0.15544,0.79239,0.000664912,0.000664912,0.000664912
2,551.017,0.27999,0.71351,0.22201,0.8487,0.99595,0.97114,0.99308,0.96679,0.96923,0.94533,0.97107,0.88952,0.23599,0.63961,0.19041,0.81027,0.00126567,0.00126567,0.00126567
3,782.885,0.29205,0.76155,0.23393,0.85131,0.99712,0.96919,0.99006,0.95924,0.9675,0.94234,0.96127,0.87369,0.23268,0.6328,0.18062,0.80049,0.00180042,0.00180042,0.00180042
4,1015.21,0.29848,0.78476,0.23889,0.85496,0.99197,0.97314,0.98878,0.96018,0.96521,0.9455,0.96013,0.8817,0.23193,0.62029,0.18703,0.80502,0.001703,0.001703,0.001703
5,1247.48,0.29558,0.76702,0.23617,0.85422,0.98899,0.97235,0.99259,0.9644,0.96483,0.93168,0.96112,0.87227,0.23316,0.72309,0.1872,0.80332,0.001604,0.001604,0.001604
6,1479.45,0.29017,0.74695,0.23075,0.85046,0.9945,0.97472,0.99361,0.96779,0.97349,0.95419,0.97558,0.89696,0.22602,0.63742,0.17425,0.80359,0.001505,0.001505,0.001505
7,1735.71,0.28852,0.75561,0.23099,0.85338,0.97688,0.97709,0.99223,0.96148,0.95245,0.94629,0.96811,0.87805,0.22428,0.64973,0.19043,0.80675,0.001406,0.001406,0.001406
8,2003.08,0.27913,0.73591,0.22442,0.84822,0.99862,0.97946,0.99344,0.96655,0.96738,0.94866,0.96346,0.88801,0.21684,0.59588,0.17293,0.79492,0.001307,0.001307,0.001307
9,2262.39,0.2731,0.71821,0.21849,0.84711,0.99757,0.97305,0.99036,0.96752,0.97631,0.95182,0.9708,0.89291,0.20338,0.60213,0.16006,0.79419,0.001208,0.001208,0.001208
10,2529.17,0.26834,0.71026,0.21352,0.84606,0.9952,0.97867,0.99345,0.96904,0.97527,0.9534,0.97535,0.90196,0.20818,0.59381,0.15898,0.80035,0.001109,0.001109,0.001109
11,2805.92,0.22976,0.60781,0.18108,0.81405,0.99578,0.96998,0.99213,0.96778,0.97632,0.95024,0.97199,0.89317,0.22659,0.61495,0.18702,0.80386,0.00101,0.00101,0.00101
12,3054.14,0.22509,0.59436,0.17828,0.81082,0.98588,0.97156,0.99153,0.96796,0.95539,0.95024,0.97272,0.89423,0.20802,0.62972,0.1753,0.79841,0.000911,0.000911,0.000911
13,3301.41,0.21966,0.57696,0.17009,0.81101,0.99678,0.97769,0.99412,0.97422,0.9702,0.95138,0.97408,0.90558,0.1946,0.58873,0.1609,0.79115,0.000812,0.000812,0.000812
14,3549.21,0.20879,0.549,0.16513,0.80627,0.99517,0.97628,0.99301,0.97473,0.97262,0.95394,0.9749,0.91311,0.18941,0.57534,0.15361,0.792,0.000713,0.000713,0.000713
15,3810.38,0.20222,0.5288,0.15828,0.80398,0.99759,0.98008,0.99342,0.97534,0.97262,0.95403,0.97437,0.91346,0.1865,0.57676,0.14569,0.79011,0.000614,0.000614,0.000614
16,4074.07,0.19621,0.51037,0.15337,0.80202,0.99793,0.97946,0.99335,0.97742,0.981,0.96288,0.98077,0.91836,0.17699,0.55538,0.13879,0.7853,0.000515,0.000515,0.000515
17,4337.1,0.18851,0.49747,0.14862,0.79891,0.99507,0.97946,0.99224,0.97803,0.97915,0.96051,0.97917,0.92526,0.17087,0.52297,0.13271,0.78523,0.000416,0.000416,0.000416
18,4597.9,0.18073,0.46305,0.14229,0.79695,0.99678,0.97796,0.99349,0.97834,0.97798,0.96051,0.97987,0.92556,0.1677,0.51326,0.12958,0.78385,0.000317,0.000317,0.000317
19,4833.49,0.17343,0.44036,0.13728,0.79645,0.9952,0.98183,0.99283,0.97919,0.97905,0.9596,0.97842,0.92601,0.16181,0.52229,0.12396,0.78234,0.000218,0.000218,0.000218
20,5084.09,0.16682,0.42828,0.13224,0.79273,0.99759,0.98286,0.99379,0.98025,0.98279,0.96761,0.98278,0.92813,0.15779,0.51158,0.12164,0.78248,0.000119,0.000119,0.000119
