epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.846,0.26559,0.71909,0.21526,0.84636,0.99252,0.97749,0.99428,0.96988,0.97261,0.94831,0.9702,0.8941,0.21497,0.6389,0.17495,0.8048,0.000664634,0.000664634,0.000664634
2,438.089,0.29202,0.76101,0.23612,0.85294,0.98775,0.97145,0.99026,0.95583,0.97138,0.94107,0.96202,0.87056,0.2567,0.72414,0.20895,0.81617,0.0012654,0.0012654,0.0012654
3,649.328,0.3148,0.83858,0.25532,0.86173,0.99181,0.9733,0.99236,0.96059,0.96174,0.94383,0.96304,0.87054,0.25165,0.76664,0.20958,0.81678,0.00180017,0.00180017,0.00180017
4,864.135,0.32064,0.84495,0.25806,0.86396,0.9979,0.97145,0.99354,0.96005,0.96891,0.94692,0.9682,0.87657,0.25597,0.70508,0.20758,0.8184,0.001703,0.001703,0.001703
5,1073.57,0.31047,0.82407,0.25149,0.86218,0.99555,0.97145,0.98998,0.9585,0.97346,0.94557,0.96668,0.87446,0.26626,0.72031,0.21332,0.82534,0.001604,0.001604,0.001604
6,1286.13,0.30655,0.79841,0.24582,0.85558,0.98974,0.97974,0.99169,0.96171,0.97147,0.94054,0.96353,0.86717,0.23419,0.71182,0.19741,0.80878,0.001505,0.001505,0.001505
7,1492.86,0.30078,0.78517,0.24362,0.85605,0.99624,0.97656,0.99373,0.97085,0.9737,0.95446,0.97333,0.896,0.22182,0.70234,0.18609,0.80468,0.001406,0.001406,0.001406
8,1700.38,0.29481,0.76072,0.23595,0.85289,0.9805,0.97219,0.99255,0.96302,0.9601,0.93002,0.95942,0.87483,0.22306,0.67363,0.19293,0.80298,0.001307,0.001307,0.001307
9,1906.68,0.29186,0.77304,0.23424,0.85227,0.99435,0.97698,0.99376,0.96974,0.96871,0.94072,0.96517,0.88268,0.21554,0.67268,0.18302,0.80404,0.001208,0.001208,0.001208
10,2110.77,0.27957,0.73325,0.2273,0.84985,0.98773,0.98066,0.99403,0.97325,0.97269,0.94843,0.97297,0.90829,0.21249,0.61631,0.17624,0.80126,0.001109,0.001109,0.001109
11,2341.55,0.24602,0.66732,0.19487,0.81991,0.99253,0.97859,0.99414,0.97211,0.97238,0.95212,0.97623,0.90475,0.22787,0.64357,0.18154,0.80555,0.00101,0.00101,0.00101
12,2548.47,0.24314,0.63555,0.19111,0.81977,0.99162,0.98067,0.99369,0.97299,0.96596,0.93554,0.96973,0.90589,0.22263,0.65661,0.18473,0.80493,0.000911,0.000911,0.000911
13,2758.71,0.23048,0.61477,0.1842,0.81541,0.99228,0.98527,0.99431,0.97338,0.96554,0.95474,0.97426,0.90517,0.21474,0.60391,0.17574,0.80383,0.000812,0.000812,0.000812
14,2962.72,0.22286,0.59514,0.17744,0.81324,0.98718,0.98343,0.994,0.97266,0.96829,0.95212,0.97308,0.90359,0.20378,0.63299,0.16743,0.80004,0.000713,0.000713,0.000713
15,3166.68,0.21456,0.57473,0.1702,0.80797,0.99626,0.98134,0.99268,0.97538,0.97102,0.95649,0.97544,0.91196,0.19743,0.58344,0.1632,0.79918,0.000614,0.000614,0.000614
16,3365.83,0.20553,0.53963,0.16338,0.80254,0.99812,0.97913,0.99451,0.97656,0.97107,0.95396,0.97589,0.91555,0.19436,0.60225,0.15558,0.79593,0.000515,0.000515,0.000515
17,3585.55,0.19771,0.52341,0.15661,0.80427,0.99625,0.97915,0.9939,0.97629,0.97336,0.95672,0.97751,0.91348,0.18361,0.57938,0.14964,0.79334,0.000416,0.000416,0.000416
18,3792.93,0.18979,0.49428,0.15246,0.79845,0.99675,0.9825,0.99474,0.97983,0.97369,0.95856,0.97927,0.9225,0.17501,0.56312,0.14088,0.78937,0.000317,0.000317,0.000317
19,3993.15,0.18398,0.4784,0.1458,0.79792,0.99488,0.97974,0.99407,0.97904,0.97392,0.96281,0.98048,0.92344,0.17035,0.5618,0.13912,0.78992,0.000218,0.000218,0.000218
20,4189.91,0.17615,0.45463,0.14022,0.79541,0.99702,0.98158,0.99357,0.97986,0.97748,0.95905,0.97944,0.92709,0.16572,0.54254,0.13256,0.78807,0.000119,0.000119,0.000119
