epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.424,0.30274,0.83129,0.252,0.85852,0.99301,0.97468,0.98864,0.95691,0.9625,0.94255,0.95791,0.85727,0.24314,0.7386,0.20742,0.81443,0.000664376,0.000664376,0.000664376
2,370.961,0.33438,0.91877,0.27516,0.86878,0.99106,0.97155,0.99349,0.95498,0.95974,0.93476,0.9609,0.85831,0.2885,0.80417,0.2326,0.82671,0.00126516,0.00126516,0.00126516
3,557.91,0.35743,0.93981,0.29285,0.87533,0.97296,0.98114,0.99295,0.95388,0.96435,0.92188,0.95739,0.85111,0.28243,0.89404,0.24288,0.83645,0.00179994,0.00179994,0.00179994
4,757.532,0.35863,0.94452,0.29295,0.87621,0.99102,0.96676,0.99233,0.94845,0.94597,0.92063,0.94433,0.83943,0.2865,0.81254,0.23959,0.82767,0.001703,0.001703,0.001703
5,944.113,0.35224,0.9288,0.28653,0.87513,0.98537,0.96787,0.99257,0.95421,0.9627,0.92979,0.95665,0.85655,0.27918,0.79789,0.23502,0.82674,0.001604,0.001604,0.001604
6,1131.42,0.33847,0.88106,0.27575,0.86741,0.97986,0.96884,0.99149,0.95591,0.95124,0.9406,0.96266,0.86885,0.27816,0.78014,0.23484,0.83055,0.001505,0.001505,0.001505
7,1315.07,0.3301,0.87789,0.26899,0.86721,0.992,0.96585,0.99259,0.95142,0.95963,0.93379,0.95645,0.8521,0.26154,0.76703,0.2204,0.82291,0.001406,0.001406,0.001406
8,1500.01,0.32226,0.84836,0.26235,0.86312,0.99007,0.97043,0.99333,0.96263,0.96013,0.93574,0.96194,0.88199,0.25879,0.74287,0.21534,0.81901,0.001307,0.001307,0.001307
9,1685.95,0.31345,0.81754,0.25444,0.86136,0.99012,0.97568,0.99313,0.96155,0.9595,0.93768,0.96083,0.86809,0.25624,0.74969,0.20807,0.82174,0.001208,0.001208,0.001208
10,1879.69,0.30861,0.82547,0.25183,0.86058,0.98819,0.97741,0.99347,0.96002,0.96946,0.94937,0.96579,0.86473,0.23942,0.7165,0.20631,0.81816,0.001109,0.001109,0.001109
11,2092.47,0.27421,0.74609,0.22121,0.8294,0.97936,0.97035,0.98807,0.95698,0.96195,0.93548,0.96182,0.8689,0.25814,0.77773,0.2227,0.8276,0.00101,0.00101,0.00101
12,2274.21,0.26166,0.72311,0.21467,0.827,0.98724,0.9796,0.99399,0.96512,0.96134,0.94352,0.9651,0.88642,0.24685,0.69794,0.20038,0.81899,0.000911,0.000911,0.000911
13,2460.22,0.25273,0.69649,0.20439,0.82347,0.99308,0.97842,0.99322,0.96853,0.96985,0.95424,0.9732,0.89267,0.22866,0.66303,0.19131,0.80963,0.000812,0.000812,0.000812
14,2642.33,0.2436,0.67443,0.19672,0.81833,0.99392,0.96884,0.99104,0.96993,0.96908,0.94603,0.97373,0.90321,0.24084,0.66296,0.19229,0.81292,0.000713,0.000713,0.000713
15,2823.21,0.23678,0.64727,0.19181,0.81676,0.99088,0.97468,0.99411,0.97052,0.96297,0.94742,0.97175,0.88808,0.21366,0.65594,0.18235,0.80469,0.000614,0.000614,0.000614
16,3000.28,0.2231,0.59945,0.17977,0.81277,0.9902,0.98386,0.99451,0.97425,0.97604,0.95618,0.98115,0.91045,0.20668,0.61455,0.16917,0.80444,0.000515,0.000515,0.000515
17,3182.45,0.2148,0.58493,0.1729,0.81091,0.9927,0.97663,0.994,0.9719,0.96494,0.94937,0.97431,0.8993,0.20054,0.62253,0.16694,0.80344,0.000416,0.000416,0.000416
18,3368.07,0.2058,0.54364,0.16723,0.80436,0.99309,0.98014,0.99429,0.97689,0.97519,0.9568,0.97883,0.91683,0.19245,0.5774,0.15943,0.79559,0.000317,0.000317,0.000317
19,3552.31,0.19827,0.52896,0.16058,0.80489,0.99,0.9815,0.99436,0.97799,0.97515,0.95813,0.98109,0.91345,0.183,0.57844,0.15132,0.79557,0.000218,0.000218,0.000218
20,3735.15,0.18935,0.50478,0.15449,0.80249,0.99432,0.97566,0.99425,0.97789,0.96934,0.95618,0.97863,0.91836,0.17681,0.55868,0.1459,0.79318,0.000119,0.000119,0.000119
